cocktail_id,ingredient_id,measure
337,258,1/2 cup 
337,195,1 cup 
337,163,1 cup 
337,71,to taste
337,70,to taste
338,46,1 1/2 oz 
338,283,1/2 oz 
339,231,1 tsp 
339,258,1/2 tsp superfine 
339,214,2 dashes 
339,278,1 tsp 
339,45,2 oz 
339,164,1 twist of 
340,81,2 oz 
340,82,1/2 oz 
340,163,1 oz 
341,277,1 oz
341,13,1 oz
341,237,1 oz
341,43,1 tsp
341,14,Dash
341,196,Garnish with
342,258,60 ml
342,10,1 tblsp
342,238,20 cl
342,172,90 ml
342,59,6 cl
342,197,Garnish with
343,8,1 1/2 oz 
343,166,8-10 oz cold 
343,162,1 slice 
343,146,cubes
344,154,1 part 
344,151,1 part 
344,286,1 oz 
345,134,5 oz 
345,122,1 1/2 oz 
345,240,1/4 tsp 
346,23,1 oz 
346,195,1 oz 
346,261,1 oz 
347,277,1 1/2 oz 
347,87,4 oz 
347,134,1 oz 
348,244,1 1/2 oz 
348,171,Juice of 1/2 
348,224,1/2 tsp 
348,162,1/2 slice 
348,61,1 
349,127,2 shots 
349,185,to taste
350,277,2 oz 
350,195,to taste
351,246,1 1/2 oz cream 
351,167,2 tsp 
351,224,1 tsp 
351,105,1 whole 
351,189,to taste
352,46,1 1/2 oz 
352,16,1 1/2 oz 
353,166,1 can 
353,278,3 cans 
353,277,1 1/2 cup 
354,277,2 cl 
354,91,2 cl 
354,137,to taste
354,195,to taste
355,1,1 shot Bacardi 
355,176,1 shot 
355,217,1 shot 
355,195,to taste
355,137,to taste
355,60,to taste
356,246,2 oz cream 
356,224,1 tsp 
356,105,1 whole 
356,185,to taste
356,189,to taste
357,185,2 cups 
357,29,1 
357,141,1 tblsp 
358,230,2 bottles 
358,258,1 cup 
358,278,2 cups hot 
358,19,1 cup
358,192," wedges
"
358,171," wedges
"
358,162,to taste
358,115,to taste
359,244,1 1/2 oz 
359,287,1 oz Green Ginger 
359,195,1 oz 
360,99,1 shot
360,51,1 shot
360,91,1/2 shot
360,217,Top
360,172,Top
361,278,1 cup 
361,47,3/4-1 cup 
361,78,4 tsp 
361,238,1 cup 
361,273,4 tsp 
362,149,2 oz
362,262,1 oz
362,135,1/2 oz
363,286,1 oz 
363,12,3/4 oz 
363,217,1 splash 
364,156,1/2 oz 
364,148,1/2 oz 
364,12,1/2 oz 
364,1,1/2 oz Bacardi 
364,89,1 oz 
365,78,6 tblsp ground
365,84,1/4 tsp 
365,55,4-5 whole green 
365,258,to taste
365,280,to taste
365,146,to taste
366,122,2 oz 
366,163,1 oz 
366,258,1 tsp superfine 
366,72,3 oz 
366,179,1 
366,192,1 
367,269,2 cups 
367,163,1-2 tblsp 
367,57,1 dash 
368,131,3 parts 
368,78,1 part 
369,78,8 oz 
369,151,4 oz 
369,12,4 oz 
369,279,to taste
370,266,2 oz 
370,163,1 tblsp 
370,137,3/4 oz 
370,106,1 
370,124,to taste
371,266,2 oz 
371,162,Juice of 1/2 
371,224,1 tsp 
371,162,1/2 slice 
371,61,1 
372,264,1/4 cup Thai 
372,278,1/2 cup boiling 
372,83,2 tsp sweetened 
372,146,cubes
372,186,garnish
373,135,1 oz
373,180,1 oz
373,172,1 oz
373,122,1 oz
374,103,1 oz 
374,122,1 oz 
374,15,1/4 tsp 
374,34,2 dashes 
374,196,Twist of 
375,122,50 ml
375,108,15 ml
375,236,15 ml
375,270,75 ml
375,171,2 Wedges
375,123,1 Slice
375,186,1 Large Sprig
376,266,1 shot
376,2,1 part
377,266,2 measures 
377,195,to taste
377,137,to taste
378,122,1 shot
378,182,1 shot
378,193,1 dash
378,163,1 dash
378,225,Top
379,103,1 1/2 oz 
379,122,1 1/2 oz 
379,180,1/4 tsp 
379,15,1/4 tsp 
379,193,2 dashes 
379,61,1 
380,266,full glass 
380,263,About 8 drops 
381,78,black
381,258,to taste
381,89," pods
"
381,55,to taste
382,149,50 ml
382,12,50 ml
382,87,4 oz
383,292,1 part 
383,62,1/2 part 
383,251,1 part 
383,261,1 splash 
384,122,6 cl
384,277,1.5 cl
384,170,0.75 cl
385,122,1 1/2 oz 
385,262,1/2 oz 
385,46,1/2 oz 
386,266,6 cl
386,269,3 cl
386,195,3 cl
386,172,1.5 cl
386,259,1 dash
386,240,1 pinch
387,168,1 oz 
387,262,1/2 oz 
387,162,Juice of 1/2 
387,224,1 tsp 
387,106,1 
388,99,2 oz 
388,62,1/2 oz 
389,168,3 oz 
389,178,1 oz 
389,163,1 oz 
390,277,2 oz 
390,139,2 oz 
390,175,2 oz 
390,146,to taste
390,189,to taste
391,277,5 cl
391,163,7 cl
391,164,1 Slice
391,146,cubes
392,254,1 cup
392,172,1/2 shot
392,277,1 1/2 shot
393,277,4 cl
393,270,10 cl
393,164,1 Slice
394,277,1 1/2 oz 
394,103,3/4 oz 
394,190,1 
395,277,2 oz 
395,243,to taste
396,103,1 1/2 oz 
396,93,3/4 oz 
396,54,to taste
397,277,1 1/2 oz 
397,163,3 oz 
397,132,3 oz unsweetened 
397,224,1 tsp 
397,192,1 slice 
398,277,2 oz 
398,270,to taste
399,23,1 1/2 oz 
399,195,1 tblsp 
399,193,2 dashes 
400,244,1 1/2 oz 
400,287,1 oz Green Ginger 
401,122,4cl
401,271,3cl
401,163,2cl
402,230,1 bottle 
402,162,2 
402,195,1 cup 
402,192,3 
402,217,1 cup 
403,230,2 oz white or 
403,165,5 oz 
403,146,cubes
404,266,1 2/3 oz
404,51,1/4 oz
404,172,3/4 oz
404,195,1/2 oz
404,235,1/2 oz
404,240,Dash
405,42,2 oz 
405,162,Juice of 1/2 
405,224,1/2 tsp 
405,61,1 
405,162,1/2 slice 
406,277,2 oz 
406,80,1 oz 
406,167,to taste
407,266,2 shots
407,134,Top
407,172,Juice of 1
407,9,1 tsp
407,211,Dash
408,171,1
408,162,1
408,285,750 ml
408,256,1 cup
408,19,1 cup
408,20,3 shots
408,249,Top
409,146,1 cup 
409,266,2 oz 
409,90,1/4 cup 
409,172,3 tblsp fresh 
410,271,3/4 oz 
410,122,3/4 oz 
410,217,1 tblsp 
411,284,3 cl
411,121,1.5 cl
411,271,1.5 cl
411,172,1.5 cl
412,291,1 cup 
412,118,1 cup 
412,146,to taste
413,241,2 cl 
413,28,2 cl 
413,283,2 cl 
414,210,4 shots 
414,260,4 shots 
415,31,to taste
415,232,to taste
415,166,to taste
415,73," slice
"
415,2,to taste
415,93,to taste
415,162,to taste
416,238,1 1/2 oz
416,128,1 1/2 oz
416,1,1 oz
416,213,1 tsp
416,137,1 tsp
416,172,1 tsp
416,14,1 drop
417,241,1 1/2 oz 
417,232,Add 10 oz 
417,146,cubes
418,277,1 1/4 oz Stoli 
418,200,1/4 oz 
419,155,1/2 oz 
419,232,1/2 oz 
420,58,1 shot 
420,277,1 shot 
420,249,Fill with 
421,293,12 oz 
421,58,3 oz 
422,82,5 cl 
422,163,2 cl 
422,146,cubes
422,162," or lime
"
423,184,1.5 oz 
423,293,12 oz 
424,12,2 oz 
424,238,2 oz 
424,159,4 oz Grape 
425,276,4 cl 
425,21,16 cl 
