cocktail_id,ingredient_id,measure
80,1,Float Bacardi 
81,122,1 1/2 oz 
81,124,4 oz 
81,171,1 
82,122,1 2/3 oz 
82,103,1/3 oz 
82,190,1 
83,244,2 1/2 oz 
83,103,1 1/2 tsp 
83,164,1 twist of 
84,156,to taste
84,241,to taste
84,28,to taste
85,277,70ml/2fl oz
85,103,1 tbsp
85,191,2 tbsp
85,162,1 wedge
85,190,1
86,63,1 part 
86,249,1 part 
86,195,1 part 
86,146,cubes
87,99,5 cl
87,125,10 cl
88,100,2 tsp 
88,171,1
88,50,2 1/2 oz
89,221,5 cl
89,172,2.5 cl
89,218,2.5 cl
89,255,1.5 cl
89,14,2 Dashes
89,211,Pinch
89,161,2 sprigs
90,281,0.75 oz 
90,144,0.25 oz 
91,104,1 1/2 oz 
91,122,3/4 oz 
91,34,1 dash 
91,164,1 twist of 
92,140,2 oz 
92,185,6-8 oz 
92,70,1 stick 
92,272,1 
92,66,2 oz finely chopped dark 
92,279,Fresh 
93,3,2 shots
93,59,Top
94,68,2 tblsp 
94,185,6 oz whole 
94,249,6 oz 
95,107,6 
95,258,1/4 cup 
95,185,2 cups 
95,168,1/2 cup 
95,45,1/2 cup 
95,273,1 tsp 
95,240,1/4 tsp 
95,280,1 cup 
95,106,6 
95,258,1/4 cup 
95,189,Ground 
96,46,3/4 oz 
96,122,3/4 oz 
96,262,3/4 oz 
96,54,to taste
96,164,to taste
97,277,5 cl
97,156,1 cl
97,259,1 dash
98,238,1 shot
98,275,1/2 shot
98,109,1 shot
98,78,1 shot
99,105,1/2 cup 
99,258,3 tblsp 
99,83,13 oz skimmed 
99,185,3/4 cup skimmed 
99,273,1 tsp 
99,238,1 tsp 
99,189,"
"
100,23,3/4 oz 
100,122,1 1/2 oz 
100,103,3/4 oz 
100,137,1 tsp 
100,163,1/4 tsp 
100,61,1 
101,50,60 ml
101,171,1
101,108,3 cl
102,105,6 
102,258,1/4 cup 
102,240,1/4 tsp 
102,185,1 qt 
102,273,1 tsp 
103,183,2 oz
103,67,3/4 oz
103,80,1/2 oz
